seed,R1_n_departures,R2_share_high,R3_avg_store_count,R4_avg_wait,arrived_tons,delivered_tons,stored_tons_end,in_planes_tons,n_departures_high,n_containers_loaded
1,3298,0.23711340206185566,18.62344787606034,6.135474227621892,521773.0561272043,521268.0972592817,444.0489191616003,60.90994875991191,782,26045
2,3325,0.23278195488721803,22.38253371780044,7.3706677035536154,523743.0765267826,522674.9217546555,1068.1547721254415,0,774,26076
3,3284,0.24208282582216809,32.90846091562492,10.873981724512898,523756.08860268124,523398.45859676355,357.63000591652593,0,795,26212
4,3271,0.24824212778966676,26.244136200487585,8.630975220020938,525350.395969067,525234.8844662827,34.38856246833922,81.12294031791706,812,26276
5,3301,0.2438654953044532,18.482742399505586,6.03093815982873,526666.0828578492,526187.2748505432,478.80800730782823,0,805,26306
6,3295,0.2370257966616085,28.824067728691777,9.54888983423936,521763.09431936144,521403.1881024311,273.496938284199,86.40927864784032,781,26107
7,3265,0.2535987748851455,27.194861307224492,8.90414017710272,527662.0015646574,527435.8209073179,226.1806573394279,0,828,26400
8,3264,0.2533700980392157,23.08003203776486,7.525361442342126,528357.14721838,527455.8782618021,901.2689565781743,0,827,26409
9,3333,0.24782478247824782,27.18252603801304,8.804762372687339,535008.4280988979,534771.3015126915,166.31045050666413,70.81613569875714,826,26695
10,3273,0.25022914757103576,32.37281416100414,10.633467060489288,526716.3259086973,526346.1965305432,179.68812031382083,190.44125784279973,819,26374
11,3245,0.25701078582434517,26.38880657667274,8.66583580844403,526212.2232976323,526072.211073914,140.0122237195672,0,834,26316
12,3315,0.24102564102564103,22.763633353061188,7.447969558066507,527683.389746295,527312.6873212535,151.66507034589065,219.03735469310314,799,26341
13,3279,0.2433668801463861,19.789858318177355,6.492408273907427,523296.9847541816,522790.3615457464,506.62320843104374,0,798,26190
14,3298,0.24530018192844147,21.422675958703827,6.989589276629926,527682.6008729814,527371.695563887,237.06695519708896,73.83835390202374,809,26391
15,3338,0.23337327741162373,24.91896583264628,8.192940019441037,526386.6500684464,526233.0160971986,153.63397124772752,0,779,26257
16,3286,0.24923919659160074,20.664493443362687,6.75915715839456,528362.4164869727,528048.0560574596,253.81883217850032,60.54159733142285,819,26312
17,3289,0.2508361204013378,17.974856292209843,5.824967361004587,530339.212249078,530162.4530578809,176.75919119699242,0,825,26482
18,3283,0.2421565641181846,22.079343145701024,7.257190271319091,523005.57618072786,522784.95723223535,220.6189484926863,0,795,26220
19,3316,0.24004825090470447,21.645020644383,7.08920752130177,526632.9388558813,526020.3825384935,612.5563173894124,0,796,26284
20,3240,0.2540123456790123,23.495458576773547,7.757188350560245,524174.89886765473,524024.68344318506,150.21542446749456,0,823,26120
21,3287,0.23912382111347733,21.564346936403652,7.075356849112913,523134.1713902307,521225.24471918505,1843.1657117538468,65.76095929295138,786,26053
22,3289,0.2444512009729401,18.310490456450903,6.003796545883847,525355.9236100258,525064.1729141017,241.80551184509739,49.94518408270421,804,26173
23,3261,0.24839006439742412,23.967100139270226,7.910589538469579,523455.7408289477,523342.15495794103,113.58587100345076,0.0,810,26139
24,3288,0.25364963503649635,24.91497792984972,8.098535623118433,531418.892552804,530728.9819425284,657.0181183617398,32.89249191437915,834,26532
25,3319,0.2374209099126243,18.601766159076956,6.0966321364758,525571.1577695007,525500.9407995113,70.21696998723758,0,788,26212
26,3295,0.24461305007587253,19.212514866222964,6.272681794305537,526465.638955595,526311.2451137723,154.39384182361036,0,806,26319
27,3252,0.251230012300123,20.44990038903549,6.7153475175144335,524515.7657157902,523508.02901604364,1007.7366997447356,0,817,26164
28,3282,0.24619134673979282,20.18126158162783,6.610616989805447,525084.261097226,525064.475156614,19.78594061479156,0,808,26275
